  120  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   49  4.0336134453781513E-01  1.5260840138889681E+00  1.0682653627836132E-04  1.0868417951569141E-04  9.6976721498195808E-04  1.0894776336410100E-02
   50  4.1176470588235294E-01  1.6758287722696645E+00  9.7370808688949295E-05  1.0878453518673753E-04  9.9021962732087834E-04  1.0401431989498652E-02
   51  4.2016806722689076E-01  1.8369992210888315E+00  8.8919717964625250E-05  1.0889696842697011E-04  1.0107123784507256E-03  9.9398031483204634E-03
   52  4.2857142857142857E-01  2.0102623759368060E+00  8.1349583345264025E-05  1.0902267113141313E-04  1.0312502101318660E-03  9.5072827842229589E-03
   53  4.3697478991596639E-01  2.1963204182608702E+00  7.4553966096477018E-05  1.0916293200001410E-04  1.0518383110129797E-03  9.1015240540909791E-03
   54  4.4537815126050420E-01  2.3959136583882506E+00  6.8440995364010956E-05  1.0931914372421386E-04  1.0724823487264941E-03  8.7204099906172200E-03
   55  4.5378151260504202E-01  2.6098238834225740E+00  6.2931149222186641E-05  1.0949281083419510E-04  1.0931885035715888E-03  8.3620272144835154E-03
   56  4.6218487394957983E-01  2.8388781400246371E+00  5.7955406792109964E-05  1.0968555829223757E-04  1.1139635038155556E-03  8.0246430721669946E-03
   57  4.7058823529411765E-01  3.0839530087630954E+00  5.3453704037020672E-05  1.0989914092966795E-04  1.1348146626381254E-03  7.7066857004537644E-03
   58  4.7899159663865546E-01  3.3459794344181421E+00  4.9373639018399949E-05  1.1013545383863425E-04  1.1557499167351828E-03  7.4067265987974256E-03
   59  4.8739495798319328E-01  3.6259481855196965E+00  4.5669382819567123E-05  1.1039654384560921E-04  1.1767778665875767E-03  7.1234653567212579E-03
   60  4.9579831932773109E-01  3.9249160267122608E+00  4.2300760624477819E-05  1.1068462221142130E-04  1.1979078183868691E-03  6.8557162381700638E-03
   61  5.0420168067226891E-01  4.2440126995118495E+00  3.9232474046024276E-05  1.1100207872306404E-04  1.2191498275921081E-03  6.6023963701762003E-03
   62  5.1260504201680672E-01  4.5844488209534582E+00  3.6433441090125779E-05  1.1135149736593627E-04  1.2405147440691522E-03  6.3625153211014642E-03
   63  5.2100840336134454E-01  4.9475248258734444E+00  3.3876234397342968E-05  1.1173567379197484E-04  1.2620142587356406E-03  6.1351658854094719E-03
   64  5.2941176470588235E-01  5.3346410975497464E+00  3.1536601838521312E-05  1.1215763482989246E-04  1.2836609515991206E-03  5.9195159185078746E-03
   65  5.3781512605042017E-01  5.7473094536338008E+00  2.9393056323383613E-05  1.1262066031904894E-04  1.3054683410316096E-03  5.7148010875643116E-03
   66  5.4621848739495798E-01  6.1871661803469086E+00  2.7426523942844316E-05  1.1312830758909407E-04  1.3274509340692226E-03  5.5203184230666660E-03
   67  5.5462184873949580E-01  6.6559868384912928E+00  2.5620041410728894E-05  1.1368443895427561E-04  1.3496242774584275E-03  5.3354205718563238E-03
   68  5.6302521008403361E-01  7.1557031007912399E+00  2.3958495280337728E-05  1.1429325264520332E-04  1.3720050090886684E-03  5.1595106658952036E-03
   69  5.7142857142857143E-01  7.6884219224482733E+00  2.2428396650698839E-05  1.1495931766306559E-04  1.3946109093519251E-03  4.9920377325295441E-03
   70  5.7983193277310924E-01  8.2564473967831422E+00  2.1017686097942631E-05  1.1568761311317579E-04  1.4174609518503657E-03  4.8324925818121637E-03
   71  5.8823529411764706E-01  8.8623057069065174E+00  1.9715564410135273E-05  1.1648357265788324E-04  1.4405753527304665E-03  4.6804041148097546E-03
   72  5.9663865546218487E-01  9.5087736542640965E+00  1.8512345402066145E-05  1.1735313482520244E-04  1.4639756177525266E-03  4.5353360039761536E-03
   73  6.0504201680672269E-01  1.0198911327752131E+01  1.7399327666369958E-05  1.1830280002120775E-04  1.4876845860050748E-03  4.3968837028020904E-03
   74  6.1344537815126050E-01  1.0936099575442845E+01  1.6368682600317174E-05  1.1933969522392489E-04  1.5117264689410877E-03  4.2646717472114460E-03
