 1000  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
    1  0.0000000000000000E+00  1.6056707723421793E-18  3.3574410508418937E+14  3.5939633101324279E-04  4.0593396367316423E-08  1.9314476582322890E+07
    2  1.0010010010010010E-03  1.4904361250714395E-10  3.7844954774488693E+06  3.7603658498395202E-04  2.4024024024098575E-06  2.0506084401813986E+03
    3  2.0020020020020020E-03  3.3724719710431131E-09  1.6725265096909453E+05  3.7603658498395206E-04  4.8048048048071086E-06  4.3108732161193223E+02
    4  3.0030030030030030E-03  2.0910239861592522E-08  2.6975055341759739E+04  3.7603658498395255E-04  7.2072072072072098E-06  1.7312505223989502E+02
    5  4.0040040040040040E-03  7.6310329602592662E-08  7.3915927294955525E+03  3.7603658498395545E-04  9.6096096096096334E-06  9.0624945851297558E+01
    6  5.0050050050050050E-03  2.0829478073341820E-07  2.7079645274350106E+03  3.7603658498396666E-04  1.2012012012012140E-05  5.4852980547348471E+01
    7  6.0060060060060060E-03  4.7314471687587109E-07  1.1921402846900622E+03  3.7603658498399991E-04  1.4414414414414917E-05  3.6395058954785214E+01
    8  7.0070070070070070E-03  9.4679193199205491E-07  5.9575378540599667E+02  3.7603658498408247E-04  1.6816816816818415E-05  2.5728362762739246E+01
    9  8.0080080080080080E-03  1.7267056491716093E-06  3.2666533392474891E+02  3.7603658498426275E-04  1.9219219219223565E-05  1.9051548024730429E+01
   10  9.0090090090090090E-03  2.9336254249417553E-06  1.9227228966633634E+02  3.7603658498462016E-04  2.1621621621632135E-05  1.4616288085797994E+01
   11  1.0010010010010010E-02  4.7131728621702053E-06  1.1967625503516835E+02  3.7603658498527726E-04  2.4024024024047195E-05  1.1531418677064094E+01
   12  1.1011011011011011E-02  7.2373645965299711E-06  7.7936501603092293E+01  3.7603658498641435E-04  2.6426426426473785E-05  9.3057032454471046E+00
   13  1.2012012012012012E-02  1.0706042809244480E-05  5.2685654964444823E+01  3.7603658498828685E-04  2.8828828828919782E-05  7.6511186520116729E+00
   14  1.3013013013013013E-02  1.5348235482151008E-05  3.6750470641581363E+01  3.7603658499124535E-04  3.1231231231397011E-05  6.3901374217166676E+00
   15  1.4014014014014014E-02  2.1423455856085602E-05  2.6328846348728143E+01  3.7603658499575865E-04  3.3633633633922647E-05  5.4087220043933715E+00
   16  1.5015015015015015E-02  2.9222948598987012E-05  1.9301778381227837E+01  3.7603658500243990E-04  3.6036036036520926E-05  4.6310280093718378E+00
   17  1.6016016016016016E-02  3.9070888759110878E-05  1.4436704549921011E+01  3.7603658501207580E-04  3.8438438439225228E-05  4.0050946097746016E+00
   18  1.7017017017017017E-02  5.1325538503431504E-05  1.0989750794349241E+01  3.7603658502565930E-04  4.0840840842080567E-05  3.4944004086457525E+00
   19  1.8018018018018018E-02  6.6380365815337430E-05  8.4973149912396428E+00  3.7603658504442553E-04  4.3243243245146524E-05  3.0726960639440702E+00
   20  1.9019019019019019E-02  8.4665128679257080E-05  6.6621865035094465E+00  3.7603658506989141E-04  4.5645645648500679E-05  2.7207406065892849E+00
   21  2.0020020020020020E-02  1.0664692776558537E-04  5.2889932178418271E+00  3.7603658510389887E-04  4.8048048052242586E-05  2.4241821571275051E+00
   22  2.1021021021021021E-02  1.3283123021433383E-04  4.2464025727447143E+00  3.7603658514866176E-04  5.0450450456498341E-05  2.1721475734460264E+00
   23  2.2022022022022022E-02  1.6376286677689567E-04  3.4443392993276802E+00  3.7603658520681672E-04  5.2852852861425784E-05  1.9562831251942151E+00
   24  2.3023023023023023E-02  2.0002700429521398E-04  2.8198936434089912E+00  3.7603658528147794E-04  5.5255255267220401E-05  1.7700890258242165E+00
   25  2.4024024024024024E-02  2.4225009526390781E-04  2.3283989938165400E+00  3.7603658537629595E-04  5.7657657674121968E-05  1.6084495618854478E+00
   26  2.5025025025025025E-02  2.9110080602411539E-04  1.9376616847861064E+00  3.7603658549552067E-04  6.0060060082421991E-05  1.4672959577195455E+00
   27  2.6026026026026026E-02  3.4729092497076987E-04  1.6241566879801917E+00  3.7603658564406859E-04  6.2462462492472004E-05  1.3433609128600598E+00
   28  2.7027027027027027E-02  4.1157625201218360E-04  1.3704747929059184E+00  3.7603658582759430E-04  6.4864864904692772E-05  1.2339974756438787E+00
