 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   14  1.3013013013013013E-02  1.5575798449771317E-05  1.3165421997321982E+01  1.3670797302431529E-04  6.2462462462499483E-06  3.8246890937292003E+00
   15  1.4014014014014014E-02  2.1741094010244573E-05  9.4319981984402873E+00  1.3670797302449850E-04  6.7267267267331807E-06  3.2372825020790179E+00
   16  1.5015015015015015E-02  2.9656227128163300E-05  6.9146341053753139E+00  1.3670797302476971E-04  7.2072072072180354E-06  2.7718092978685149E+00
   17  1.6016016016016016E-02  3.9650179282601126E-05  5.1717788733360004E+00  1.3670797302516086E-04  7.6876876877052578E-06  2.3971693662262027E+00
   18  1.7017017017017017E-02  5.2086524469060348E-05  3.9369484070755419E+00  1.3670797302571225E-04  8.1681681681958530E-06  2.0915035546163493E+00
   19  1.8018018018018018E-02  6.7364564483606039E-05  3.0440627221692391E+00  1.3670797302647403E-04  8.6486486486911516E-06  1.8391008437607159E+00
   20  1.9019019019019019E-02  8.5920429182169832E-05  2.3866496186429200E+00  1.3670797302750777E-04  9.1291291291928862E-06  1.6284449360058954E+00
   21  2.0020020020020020E-02  1.0822814477305591E-04  1.8947193447076793E+00  1.3670797302888824E-04  9.6096096097032798E-06  1.4509458006217414E+00
   22  2.1021021021021021E-02  1.3480067277957681E-04  1.5212235615572252E+00  1.3670797303070530E-04  1.0090090090225148E-05  1.3000955356166140E+00
   23  2.2022022022022022E-02  1.6619092196568358E-04  1.2338938681135772E+00  1.3670797303306599E-04  1.0570570570762017E-05  1.1708941825770865E+00
   24  2.3023023023023023E-02  2.0299273523319263E-04  1.0101935880541507E+00  1.3670797303609672E-04  1.1051051051318251E-05  1.0594514241154086E+00
   25  2.4024024024024024E-02  2.4584185326200543E-04  8.3412143554488319E-01  1.3670797303994567E-04  1.1531531531899204E-05  9.6270535214564496E-01
   26  2.5025025025025025E-02  2.9541685646499601E-04  6.9414441010909566E-01  1.3670797304478537E-04  1.2012012012511388E-05  8.7822068228201283E-01
