 1000  1.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
   25  2.4024024024024024E-02  4.4545294227999496E-03  3.1757571150548391E-01  9.4310023391187107E-04  5.7657657778370562E-05  5.9402180235472832E-01
   26  2.5025025025025025E-02  5.3528032933251729E-03  2.6428214836893522E-01  9.4310023610419234E-04  6.0060060224013091E-05  5.4189190021722890E-01
   27  2.6026026026026026E-02  6.3860352584627202E-03  2.2152247850164718E-01  9.4310023883571261E-04  6.2462462682486179E-05  4.9612104090035573E-01
   28  2.7027027027027027E-02  7.5681230780755863E-03  1.8692221951487214E-01  9.4310024221040976E-04  6.4864865156874794E-05  4.5573166997315933E-01
   29  2.8028028028028028E-02  8.9137898344223894E-03  1.5870358128232853E-01  9.4310024634723171E-04  6.7267267650846091E-05  4.1992536543524089E-01
   30  2.9029029029029029E-02  1.0438599658128069E-02  1.3552108744498501E-01  9.4310025138157651E-04  6.9669670168731520E-05  3.8804508249684514E-01
   31  3.0030030030030030E-02  1.2158973165436576E-02  1.1634620514021766E-01  9.4310025746685707E-04  7.2072072715616892E-05  3.5954632701073239E-01
   32  3.1031031031031031E-02  1.4092202622122392E-02  1.0038532904313085E-01  9.4310026477615182E-04  7.4474475297440852E-05  3.3397493093399633E-01
   33  3.2032032032032032E-02  1.6256466848125391E-02  8.7020779082697450E-02  9.4310027350394311E-04  7.6876877921102213E-05  3.1094976207794485E-01
   34  3.3033033033033033E-02  1.8670845875814097E-02  7.5767880856133660E-02  9.4310028386794470E-04  7.9279280594576608E-05  2.9014915868324168E-01
   35  3.4034034034034034E-02  2.1355335373753756E-02  6.6243419707899817E-02  9.4310029611101982E-04  8.1681683327042940E-05  2.7130020212938332E-01
   36  3.5035035035035035E-02  2.4330860846939706E-02  5.8142228285881594E-02  9.4310031050319125E-04  8.4084086129020092E-05  2.5417017109252174E-01
   37  3.6036036036036036E-02  2.7619291623637910E-02  5.1219651477407619E-02  9.4310032734374494E-04  8.6486489012514401E-05  2.3855968616634758E-01
   38  3.7037037037037037E-02  3.1243454638240644E-02  4.5278300265607351E-02  9.4310034696342844E-04  8.8888891991178371E-05  2.2429717456388412E-01
   39  3.8038038038038038E-02  3.5227148018885356E-02  4.0157964358389753E-02  9.4310036972674560E-04  9.1291295080481137E-05  2.1123437314559115E-01
   40  3.9039039039039039E-02  3.9595154487989479E-02  3.5727871562684108E-02  9.4310039603434895E-04  9.3693698297891178E-05  1.9924265374073146E-01
   41  4.0040040040040040E-02  4.4373254583315891E-02  3.1880705005131571E-02  9.4310042632553097E-04  9.6096101663071798E-05  1.8821000388198632E-01
   42  4.1041041041041041E-02  4.9588239706695932E-02  2.8527947351803300E-02  9.4310046108081570E-04  9.8498505198089901E-05  1.7803853313196401E-01
   43  4.2042042042042042E-02  5.5267925007093880E-02  2.5596234182039608E-02  9.4310050082465204E-04  1.0090090892763857E-04  1.6864240333399614E-01
   44  4.3043043043043043E-02  6.1441162104293540E-02  2.3024480181397125E-02  9.4310054612820983E-04  1.0330331287927401E-04  1.5994610266307810E-01
   45  4.4044044044044044E-02  6.8137851659119899E-02  2.0761601106762758E-02  9.4310059761228024E-04  1.0570571708366737E-04  1.5188299995121522E-01
   46  4.5045045045045045E-02  7.5388955795772940E-02  1.8764697945381831E-02  9.4310065595028152E-04  1.0810812157487202E-04  1.4439412863325708E-01
   47  4.6046046046046046E-02  8.3226510381543502E-02  1.6997601801658303E-02  9.4310072187137156E-04  1.1051052639060680E-04  1.3742715970311248E-01
   48  4.7047047047047047E-02  9.1683637168899624E-02  1.5429701939501283E-02  9.4310079616366833E-04  1.1291293157255585E-04  1.3093553095364351E-01
   49  4.8048048048048048E-02  1.0079455580467379E-01  1.4034997309356390E-02  9.4310087967757948E-04  1.1531533716668556E-04  1.2487770599606815E-01
   50  4.9049049049049049E-02  1.1059459571084460E-01  1.2791325388923563E-02  9.4310097332924239E-04  1.1771774322357918E-04  1.1921654149265792E-01
   51  5.0050050050050050E-02  1.2112020784118872E-01  1.1679732411052223E-02  9.4310107810407568E-04  1.2012014979878977E-04  1.1391874497520017E-01
   52  5.1051051051051051E-02  1.3240897631787909E-01  1.0683956873093399E-02  9.4310119506044362E-04  1.2252255695321196E-04  1.0895440877874561E-01
   53  5.2052052052052052E-02  1.4449962995192131E-01  9.7900042267986571E-03  9.4310132533343435E-04  1.2492496475347320E-04  1.0429660816258950E-01
   54  5.3053053053053053E-02  1.5743205365115098E-01  8.9857952837407288E-03  9.4310147013875327E-04  1.2732737327234502E-04  9.9921053747116497E-02
   55  5.4054054054054054E-02  1.7124729971935927E-01  8.2608744691649839E-03  9.4310163077673263E-04  1.2972978258917502E-04  9.5805790066067072E-02
   56  5.5055055055055055E-02  1.8598759904997095E-01  7.6061668637090174E-03  9.4310180863645859E-04  1.3213219279034007E-04  9.1930933396937955E-02
   57  5.6056056056056056E-02  2.0169637221756765E-01  7.0137751722874536E-03  9.4310200520001665E-04  1.3453460396972143E-04  8.8278443148731604E-02
   58  5.7057057057057057E-02  2.1841824047042841E-01  6.4768094918419364E-03  9.4310222204685693E-04  1.3693701622920233E-04  8.4831922004251945E-02
   59  5.8058058058058058E-02  2.3619903662714930E-01  5.9892441200787528E-03  9.4310246085827998E-04  1.3933942967918877E-04  8.1576440771685991E-02
   60  5.9059059059059059E-02  2.5508581588030201E-01  5.5457967360948347E-03  9.4310272342204463E-04  1.4174184443915401E-04  7.8498384527572959E-02
   61  6.0060060060060060E-02  2.7512686650999954E-01  5.1418261524242383E-03  9.4310301163709867E-04  1.4414426063820751E-04  7.5585317154592036E-02
   62  6.1061061061061061E-02  2.9637172051015208E-01  4.7732455338268081E-03  9.4310332751843367E-04  1.4654667841568891E-04  7.2825861812246711E-02
   63  6.2062062062062062E-02  3.1887116413012032E-01  4.4364485376477161E-03  9.4310367320206482E-04  1.4894909792178775E-04  7.0209595242053762E-02
   64  6.3063063063063063E-02  3.4267724833440349E-01  4.1282462821830106E-03  9.4310405095013704E-04  1.5135151931818949E-04  6.7726954113828851E-02
   65  6.4064064064064064E-02  3.6784329918293774E-01  3.8458134153225201E-03  9.4310446315615829E-04  1.5375394277874864E-04  6.5369151876286590E-02
   66  6.5065065065065065E-02  3.9442392813452406E-01  3.5866418531358783E-03  9.4310491235036127E-04  1.5615636849018945E-04  6.3128104791728229E-02
   67  6.6066066066066066E-02  4.2247504227585585E-01  3.3485010006439337E-03  9.4310540120519438E-04  1.5855879665283514E-04  6.0996366017838708E-02
   68  6.7067067067067067E-02  4.5205385447857252E-01  3.1294034655299460E-03  9.4310593254094322E-04  1.6096122748136600E-04  5.8967066755095935E-02
   69  6.8068068068068068E-02  4.8321889348672738E-01  2.9275754385131088E-03  9.4310650933148346E-04  1.6336366120560733E-04  5.7033863610559463E-02
   70  6.9069069069069069E-02  5.1603001393702614E-01  2.7414310483069842E-03  9.4310713471016619E-04  1.6576609807134777E-04  5.5190891441603582E-02
   71  7.0070070070070070E-02  5.5054840631416474E-01  2.5695501099252901E-03  9.4310781197583691E-04  1.6816853834118866E-04  5.3432721039591153E-02
   72  7.1071071071071071E-02  5.8683660684357350E-01  2.4106587769081936E-03  9.4310854459898894E-04  1.7057098229542537E-04  5.1754321096119262E-02
   73  7.2072072072072072E-02  6.2495850732385737E-01  2.2636126843041614E-03  9.4310933622805249E-04  1.7297343023296093E-04  5.0151023965442637E-02
   74  7.3073073073073073E-02  6.6497936490120955E-01  2.1273822327613059E-03  9.4311019069582028E-04  1.7537588247225309E-04  4.8618494797776815E-02
   75  7.4074074074074074E-02  7.0696581178806842E-01  2.0010397171272260E-03  9.4311111202601082E-04  1.7777833935229514E-04  4.7152703670889284E-02
   76  7.5075075075075075E-02  7.5098586492828426E-01  1.8837480473684411E-03  9.4311210443997027E-04  1.8018080123363153E-04  4.5749900392950963E-02
   77  7.6076076076076076E-02  7.9710893561106358E-01  1.7747508468974637E-03  9.4311317236351399E-04  1.8258326849940875E-04  4.4406591689090781E-02
   78  7.7077077077077077E-02  8.4540583903596476E-01  1.6733637447596111E-03  9.4311432043390873E-04  1.8498574155646238E-04  4.3119520518355737E-02
   79  7.8078078078078078E-02  8.9594880383122815E-01  1.5789667045830218E-03  9.4311555350699641E-04  1.8738822083644100E-04  4.1885647297573079E-02
   80  7.9079079079079079E-02  9.4881148152773842E-01  1.4909972555547465E-03  9.4311687666446071E-04  1.8979070679696762E-04  4.0702132834570865E-02
   81  8.0080080080080080E-02  1.0040689559909347E+00  1.4089445096285083E-03  9.4311829522123726E-04  1.9219319992283949E-04  3.9566322795873153E-02
   82  8.1081081081081081E-02  1.0617977528130071E+00  1.3323438652527846E-03  9.4311981473306846E-04  1.9459570072726698E-04  3.8475733553801077E-02
   83  8.2082082082082082E-02  1.1220758486677433E+00  1.2607723115919290E-03  9.4312144100420418E-04  1.9699820975315225E-04  3.7428039275268379E-02
   84  8.3083083083083083E-02  1.1849826806304214E+00  1.1938442588800104E-03  9.4312318009524897E-04  1.9940072757440856E-04  3.6421060129790146E-02
   85  8.4084084084084084E-02  1.2505991554651776E+00  1.1312078305142651E-03  9.4312503833115717E-04  2.0180325479732091E-04  3.5452751507609316E-02
   86  8.5085085085085085E-02  1.3190076588823177E+00  1.0725415610268902E-03  9.4312702230937662E-04  2.0420579206194878E-04  3.4521194150629170E-02
   87  8.6086086086086086E-02  1.3902920647680810E+00  1.0175514513910448E-03  9.4312913890814228E-04  2.0660834004357182E-04  3.3624585109229640E-02
   88  8.7087087087087087E-02  1.4645377443894162E+00  9.6596833940403857E-04  9.4313139529492052E-04  2.0901089945417917E-04  3.2761229447219716E-02
